Unnamed: 0,surfactant,nanoparticle,concentration,run_id,bd_row_idx,bd_t [s],bd_BC [mm?²],bd_M?B?A? [µm²],bd_SD M?B?A? [µm²],bd_R_avg [Âµm],bd_Ravg [µm],bd_R21 [µm],bd_R32 [µm],bd_v,bd_w,hd_t [s],hd_h_foam [mm],hd_h_liquid [mm],hd_h_total [mm],hd_V_foam [mL],hd_V_liquid [mL],hd_V_total [mL],hd_FVS [%],hd_FLS [%],hd_T [°C],frame_path
12804,Cocobetain 1 wt.%,CNT,0.00625,1,30,212.88,1.132,,,,,,,2.0,2.0,212.47,,,,,,,64.9,13.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_092.png
12805,Cocobetain 1 wt.%,CNT,0.00625,1,31,217.88,1.062,,,,,,,2.0,2.0,217.47,,,,,,,64.5,13.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_093.png
12806,Cocobetain 1 wt.%,CNT,0.00625,1,32,222.88,1.046,,,,,,,2.0,2.0,222.47,,,,,,,64.0,13.6,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_094.png
12807,Cocobetain 1 wt.%,CNT,0.00625,1,33,227.88,1.04,,,,,,,2.0,2.0,227.47,,,,,,,63.7,13.6,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_095.png
12808,Cocobetain 1 wt.%,CNT,0.00625,1,34,232.88,0.998,,,,,,,2.0,2.0,232.47,,,,,,,63.2,13.3,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_096.png
12809,Cocobetain 1 wt.%,CNT,0.00625,1,35,237.88,0.957,,,,,,,2.0,1.0,237.47,,,,,,,62.8,13.3,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_097.png
12810,Cocobetain 1 wt.%,CNT,0.00625,1,36,242.88,0.934,,,,,,,1.0,1.0,242.47,,,,,,,62.6,13.3,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_098.png
12811,Cocobetain 1 wt.%,CNT,0.00625,1,37,247.88,0.927,,,,,,,2.0,1.0,247.47,,,,,,,62.4,13.3,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_099.png
12812,Cocobetain 1 wt.%,CNT,0.00625,1,38,252.88,0.912,,,,,,,2.0,2.0,252.47,,,,,,,62.0,13.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_100.png
12813,Cocobetain 1 wt.%,CNT,0.00625,1,39,257.88,0.91,,,,,,,2.0,1.0,257.47,,,,,,,61.8,13.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_101.png
12814,Cocobetain 1 wt.%,CNT,0.00625,1,40,262.88,0.85,,,,,,,2.0,1.0,262.47,,,,,,,61.5,13.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_102.png
12815,Cocobetain 1 wt.%,CNT,0.00625,1,41,267.88,0.854,,,,,,,2.0,1.0,267.47,,,,,,,61.3,13.3,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_103.png
12816,Cocobetain 1 wt.%,CNT,0.00625,1,42,272.88,0.923,,,,,,,2.0,2.0,272.47,,,,,,,60.9,13.3,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_104.png
12817,Cocobetain 1 wt.%,CNT,0.00625,1,43,277.88,0.857,,,,,,,2.0,2.0,277.47,,,,,,,60.6,13.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_105.png
12818,Cocobetain 1 wt.%,CNT,0.00625,1,44,282.88,0.997,,,,,,,1.0,1.0,282.47,,,,,,,60.4,13.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_106.png
12819,Cocobetain 1 wt.%,CNT,0.00625,1,45,287.88,0.998,,,,,,,1.0,1.0,287.47,,,,,,,60.1,13.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_107.png
12820,Cocobetain 1 wt.%,CNT,0.00625,1,46,292.88,0.979,,,,,,,2.0,1.0,292.47,,,,,,,60.0,13.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_108.png
12821,Cocobetain 1 wt.%,CNT,0.00625,1,47,297.88,1.06,,,,,,,1.0,1.0,297.47,,,,,,,59.8,12.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_109.png
12822,Cocobetain 1 wt.%,CNT,0.00625,1,48,302.88,1.064,,,,,,,1.0,1.0,302.47,,,,,,,59.3,13.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_110.png
12823,Cocobetain 1 wt.%,CNT,0.00625,1,49,307.88,1.027,,,,,,,1.0,1.0,307.47,,,,,,,59.2,12.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_111.png
12824,Cocobetain 1 wt.%,CNT,0.00625,1,50,312.88,1.008,,,,,,,1.0,1.0,312.47,,,,,,,58.9,12.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_112.png
12825,Cocobetain 1 wt.%,CNT,0.00625,1,51,317.88,1.07,,,,,,,1.0,1.0,317.47,,,,,,,58.7,12.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_113.png
12826,Cocobetain 1 wt.%,CNT,0.00625,1,52,322.88,1.055,,,,,,,1.0,1.0,322.47,,,,,,,58.5,12.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_114.png
12827,Cocobetain 1 wt.%,CNT,0.00625,1,53,327.88,1.104,,,,,,,2.0,1.0,327.47,,,,,,,58.4,12.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_115.png
12828,Cocobetain 1 wt.%,CNT,0.00625,1,54,332.88,1.158,,,,,,,2.0,2.0,332.47,,,,,,,58.2,12.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_116.png
12829,Cocobetain 1 wt.%,CNT,0.00625,1,55,337.88,1.12,,,,,,,2.0,2.0,337.47,,,,,,,58.0,12.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_117.png
12830,Cocobetain 1 wt.%,CNT,0.00625,1,56,342.89,1.09,,,,,,,2.0,2.0,342.47,,,,,,,57.8,12.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_118.png
12831,Cocobetain 1 wt.%,CNT,0.00625,1,57,347.89,1.164,,,,,,,2.0,2.0,347.47,,,,,,,57.6,12.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_119.png
12832,Cocobetain 1 wt.%,CNT,0.00625,1,58,352.89,1.129,,,,,,,2.0,3.0,352.47,,,,,,,57.6,12.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_120.png
12833,Cocobetain 1 wt.%,CNT,0.00625,1,59,357.89,1.108,,,,,,,2.0,3.0,357.47,,,,,,,57.4,12.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_121.png
12834,Cocobetain 1 wt.%,CNT,0.00625,1,60,362.89,1.127,,,,,,,2.0,3.0,362.47,,,,,,,57.3,12.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_122.png
12835,Cocobetain 1 wt.%,CNT,0.00625,1,61,367.89,1.124,,,,,,,2.0,3.0,367.47,,,,,,,57.0,12.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_123.png
12836,Cocobetain 1 wt.%,CNT,0.00625,1,62,372.89,1.098,,,,,,,2.0,3.0,372.47,,,,,,,56.9,12.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_124.png
12837,Cocobetain 1 wt.%,CNT,0.00625,1,63,377.89,1.132,,,,,,,2.0,4.0,377.47,,,,,,,56.7,12.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_125.png
12838,Cocobetain 1 wt.%,CNT,0.00625,1,64,382.89,1.093,,,,,,,2.0,3.0,382.47,,,,,,,56.5,12.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_126.png
12839,Cocobetain 1 wt.%,CNT,0.00625,1,65,387.89,1.106,,,,,,,2.0,3.0,387.47,,,,,,,56.3,12.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_127.png
12840,Cocobetain 1 wt.%,CNT,0.00625,1,66,392.89,1.166,,,,,,,2.0,3.0,392.47,,,,,,,56.3,12.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_128.png
12841,Cocobetain 1 wt.%,CNT,0.00625,1,67,397.89,1.042,,,,,,,2.0,3.0,397.47,,,,,,,56.3,12.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_129.png
12842,Cocobetain 1 wt.%,CNT,0.00625,1,68,402.89,1.04,,,,,,,2.0,3.0,402.47,,,,,,,56.1,12.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_130.png
12843,Cocobetain 1 wt.%,CNT,0.00625,1,69,407.89,1.056,,,,,,,2.0,4.0,407.47,,,,,,,55.9,12.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_131.png
12844,Cocobetain 1 wt.%,CNT,0.00625,1,70,412.89,1.061,,,,,,,2.0,5.0,412.47,,,,,,,56.0,12.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_132.png
12845,Cocobetain 1 wt.%,CNT,0.00625,1,71,417.89,1.037,,,,,,,2.0,5.0,417.47,,,,,,,55.7,12.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_133.png
12846,Cocobetain 1 wt.%,CNT,0.00625,1,72,422.89,1.262,,,,,,,2.0,3.0,422.47,,,,,,,55.7,12.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_134.png
12847,Cocobetain 1 wt.%,CNT,0.00625,1,73,427.89,1.299,,,,,,,2.0,3.0,427.47,,,,,,,55.5,12.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_135.png
12848,Cocobetain 1 wt.%,CNT,0.00625,1,74,432.89,1.353,,,,,,,2.0,3.0,432.47,,,,,,,55.4,12.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_136.png
12849,Cocobetain 1 wt.%,CNT,0.00625,1,75,437.89,1.701,,,,,,,2.0,6.0,437.47,,,,,,,55.1,12.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_137.png
12850,Cocobetain 1 wt.%,CNT,0.00625,1,76,442.89,1.675,,,,,,,3.0,6.0,442.47,,,,,,,55.0,12.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_138.png
12851,Cocobetain 1 wt.%,CNT,0.00625,1,77,447.89,1.344,,,,,,,2.0,3.0,447.47,,,,,,,55.0,12.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_139.png
12852,Cocobetain 1 wt.%,CNT,0.00625,1,78,452.89,1.281,,,,,,,2.0,3.0,452.47,,,,,,,54.8,12.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_140.png
12853,Cocobetain 1 wt.%,CNT,0.00625,1,79,457.89,1.373,,,,,,,2.0,3.0,457.47,,,,,,,54.7,12.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_141.png
12854,Cocobetain 1 wt.%,CNT,0.00625,1,80,462.89,1.416,,,,,,,2.0,3.0,462.47,,,,,,,54.6,12.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_142.png
12855,Cocobetain 1 wt.%,CNT,0.00625,1,81,467.89,1.83,,,,,,,2.0,5.0,467.47,,,,,,,54.6,12.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_143.png
12856,Cocobetain 1 wt.%,CNT,0.00625,1,82,472.89,1.845,,,,,,,2.0,5.0,472.47,,,,,,,54.5,12.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_144.png
12857,Cocobetain 1 wt.%,CNT,0.00625,1,83,477.89,1.662,,,,,,,2.0,4.0,477.47,,,,,,,54.3,12.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_145.png
12858,Cocobetain 1 wt.%,CNT,0.00625,1,84,482.89,1.713,,,,,,,2.0,5.0,482.47,,,,,,,54.3,12.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_146.png
12859,Cocobetain 1 wt.%,CNT,0.00625,1,85,487.89,1.715,,,,,,,2.0,4.0,487.47,,,,,,,54.2,12.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_147.png
12860,Cocobetain 1 wt.%,CNT,0.00625,1,86,492.89,1.754,,,,,,,2.0,4.0,492.47,,,,,,,54.0,12.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_148.png
12861,Cocobetain 1 wt.%,CNT,0.00625,1,87,497.89,1.823,,,,,,,2.0,5.0,497.47,,,,,,,54.1,12.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_149.png
12862,Cocobetain 1 wt.%,CNT,0.00625,1,88,502.89,1.862,,,,,,,2.0,5.0,502.47,,,,,,,54.0,12.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_150.png
12863,Cocobetain 1 wt.%,CNT,0.00625,1,89,507.89,2.043,,,,,,,2.0,4.0,507.47,,,,,,,53.8,12.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_151.png
12864,Cocobetain 1 wt.%,CNT,0.00625,1,90,512.89,2.019,,,,,,,2.0,4.0,512.47,,,,,,,53.8,12.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_152.png
12865,Cocobetain 1 wt.%,CNT,0.00625,1,91,517.89,2.055,,,,,,,2.0,3.0,517.47,,,,,,,53.7,12.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_153.png
12866,Cocobetain 1 wt.%,CNT,0.00625,1,92,522.89,2.089,,,,,,,2.0,3.0,522.47,,,,,,,53.5,13.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_154.png
12867,Cocobetain 1 wt.%,CNT,0.00625,1,93,527.89,2.258,,,,,,,2.0,5.0,527.47,,,,,,,53.3,12.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_155.png
12868,Cocobetain 1 wt.%,CNT,0.00625,1,94,532.89,2.295,,,,,,,2.0,5.0,532.47,,,,,,,53.3,12.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_156.png
12869,Cocobetain 1 wt.%,CNT,0.00625,1,95,537.89,2.104,,,,,,,2.0,4.0,537.47,,,,,,,53.3,12.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_157.png
12870,Cocobetain 1 wt.%,CNT,0.00625,1,96,542.89,2.142,,,,,,,2.0,4.0,542.47,,,,,,,53.1,12.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_158.png
12871,Cocobetain 1 wt.%,CNT,0.00625,1,97,547.89,2.176,,,,,,,2.0,4.0,547.47,,,,,,,53.0,12.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_159.png
12872,Cocobetain 1 wt.%,CNT,0.00625,1,98,552.89,2.281,,,,,,,2.0,5.0,552.47,,,,,,,52.8,12.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_160.png
12873,Cocobetain 1 wt.%,CNT,0.00625,1,99,557.89,2.316,,,,,,,2.0,4.0,557.47,,,,,,,52.8,12.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_161.png
12874,Cocobetain 1 wt.%,CNT,0.00625,1,100,562.89,2.454,,,,,,,2.0,5.0,562.47,,,,,,,52.8,12.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_162.png
12875,Cocobetain 1 wt.%,CNT,0.00625,1,101,567.89,2.574,,,,,,,2.0,5.0,567.47,,,,,,,52.7,12.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_163.png
12876,Cocobetain 1 wt.%,CNT,0.00625,1,102,572.89,2.477,,,,,,,2.0,5.0,572.47,,,,,,,52.5,12.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_164.png
12877,Cocobetain 1 wt.%,CNT,0.00625,1,103,577.89,2.772,,,,,,,2.0,6.0,577.47,,,,,,,52.3,12.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_165.png
12878,Cocobetain 1 wt.%,CNT,0.00625,1,104,582.89,2.846,,,,,,,2.0,6.0,582.47,,,,,,,52.4,12.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_166.png
12879,Cocobetain 1 wt.%,CNT,0.00625,1,105,587.89,2.534,,,,,,,3.0,11.0,587.47,,,,,,,52.2,11.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_167.png
12880,Cocobetain 1 wt.%,CNT,0.00625,1,106,592.89,2.574,,,,,,,3.0,11.0,592.47,,,,,,,52.1,11.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_168.png
12881,Cocobetain 1 wt.%,CNT,0.00625,1,107,597.89,2.495,,,,,,,3.0,11.0,597.47,,,,,,,52.1,12.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_169.png
12882,Cocobetain 1 wt.%,CNT,0.00625,1,108,602.89,2.529,,,,,,,3.0,10.0,602.47,,,,,,,52.0,11.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_170.png
12883,Cocobetain 1 wt.%,CNT,0.00625,1,109,607.89,2.72,,,,,,,3.0,9.0,607.47,,,,,,,52.0,12.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_171.png
12884,Cocobetain 1 wt.%,CNT,0.00625,1,110,612.89,2.629,,,,,,,3.0,8.0,612.47,,,,,,,51.7,11.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_172.png
12885,Cocobetain 1 wt.%,CNT,0.00625,1,111,617.89,2.661,,,,,,,3.0,9.0,617.47,,,,,,,51.6,11.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_173.png
12886,Cocobetain 1 wt.%,CNT,0.00625,1,112,622.89,2.57,,,,,,,3.0,8.0,622.47,,,,,,,51.5,11.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_174.png
12887,Cocobetain 1 wt.%,CNT,0.00625,1,113,627.89,2.601,,,,,,,3.0,8.0,627.47,,,,,,,51.5,12.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_175.png
12888,Cocobetain 1 wt.%,CNT,0.00625,1,114,632.89,2.64,,,,,,,3.0,8.0,632.47,,,,,,,51.5,12.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_176.png
12889,Cocobetain 1 wt.%,CNT,0.00625,1,115,637.89,2.679,,,,,,,3.0,7.0,637.47,,,,,,,51.3,11.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_177.png
12890,Cocobetain 1 wt.%,CNT,0.00625,1,116,642.89,2.706,,,,,,,3.0,7.0,642.47,,,,,,,51.3,11.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Cocobetain 1 wt.%\CNT\0.00625\1\extracted_frames\frame_178.png
